Number,Subject,TimeQuest,Question,Answer,TimeTemp
0,Lesson_26,58.89,Отвечайте на вопросы.,Answer the questions.,59.43
1,Lesson_26,78.86,Ask her how she is.,How are you?,86.05
2,Lesson_26,86.05,Try to say «не очень хорошо».,Not very well.,95.69
3,Lesson_26,100.29,Ask «почему?»,Why?,106.86
4,Lesson_26,106.86,Мне нужно купить кое‐что.,I need to buy something.,117.12
5,Lesson_26,117.12,И я не могу.,And I can’t.,124.32
6,Lesson_26,127.39,Почему?,Why?,132.86
7,Lesson_26,132.86,"Имея ввиду конкретные магазины, скажите «потому что магазины закрыты».",Because the stores are closed.,147.96
8,Lesson_26,152.84,Правда?,Really?,159.4
9,Lesson_26,159.4,"Да, они закрыты.","Yes, they are closed.",168.73
10,Lesson_26,168.73,Уже поздно.,It’s late.,175.88
11,Lesson_26,179.34,Уже слишком поздно.,It’s too late.,188.08
12,Lesson_26,192.09,Но они открыты.,But they are open.,200.54
13,Lesson_26,204.36,Когда?,When?,210.06
14,Lesson_26,210.06,Завтра.,Tomorrow.,215.87
15,Lesson_26,220.21,Вы можете купить что‐нибудь завтра.,You can buy something tomorrow.,232.28
16,Lesson_26,232.28,«В универмаге». Имея ввиду какой‐нибудь универмаг вообще.,In a department store.,245.14
17,Lesson_26,250.45,Что вы хотите купить?,What do you want to buy?,260.05
18,Lesson_26,260.05,Say «мой муж хочет купить кое‐что».,My husband wants to buy something.,274.05
19,Lesson_26,274.05,Для нашей маленькой девочки.,For our little girl.,284.91
20,Lesson_26,289.23,"Имея ввиду конкретный универмаг, скажите «тогда поезжайте в универмаг».",Then go to the department store.,305.87
21,Lesson_26,305.87,На Парковом Проспекте.,On Park Avenue.,319.48
22,Lesson_26,319.48,Say «завтра магазины открыты» имея ввиду «завтра магазины будут открыты».,Tomorrow the stores are open.,337.33
23,Lesson_26,348.15,Ask where Park Avenue is.,Where is Park Avenue?,357.12
24,Lesson_26,357.12,Он там.,It’s over there.,365.34
25,Lesson_26,365.34,Поезжайте направо ,Go to the right.,373.79
26,Lesson_26,377.33,Потом налево.,Then to the left.,385.87
27,Lesson_26,389.36,Say «моему мужу нужны деньги».,My husband needs some money.,406.79
28,Lesson_26,415.48,Мне тоже нужны деньги.,I need some money too.,426.41
29,Lesson_26,426.41,Now say «мне нужен бензин».,I need some gas.,437.86
30,Lesson_26,442.42,Сколько он стоит?,How much is it?,450.41
31,Lesson_26,454.02,Один доллар за галлон.,One dollar per gallon.,464.01
32,Lesson_26,468.03,Почему вам нужен бензин?,Why do you need some gas?,478.29
33,Lesson_26,523.2,Произнесите еще раз полное название города Вашингтон.,Washington D.C.,544.25
34,Lesson_26,544.25,Now say «потому что я собираюсь в Вашингтон».,Because I’m going to Washington.,558.52
35,Lesson_26,565.37,А сейчас спросите просто «вы собираетесь в Вашингтон?»,You’re going to Washington?,579.15
36,Lesson_26,611.78,"Сейчас спросите ее еще раз, что она собирается делать там.",What are you going to do there?,622.67
37,Lesson_26,658.77,Say «несколько друзей».,A few friends.,668.57
38,Lesson_26,694.41,Say «я собираюсь увидеть нескольких друзей».,I’m going to see a few friends.,708.68
39,Lesson_26,708.68,How do you say «друг»?,Friend,716.79
40,Lesson_26,716.79,Say «несколько друзей».,A few friends.,726.89
41,Lesson_26,730.32,How do you say «увидеть»?,To see,737.75
42,Lesson_26,743.92,Спросите еще раз «что вы собираетесь делать там?»,What are you going to do there?,755.84
43,Lesson_26,755.84,Я собираюсь увидеть нескольких друзей.,I’m going to see a few friends.,770.16
44,Lesson_26,770.16,В Вашингтоне.,In Washington.,778.93
45,Lesson_26,778.93,Try to say «у меня там есть несколько друзей».,I have a few friends there.,791.67
46,Lesson_26,791.67,Я собираюсь увидеть нескольких друзей.,I’m going to see a few friends.,805
47,Lesson_26,805,И я собираюсь поработать.,And I’m going to work.,814.28
48,Lesson_26,824.9,Ask her is she’s going to work.,Are you going to work?,835.13
49,Lesson_26,840.32,Немного ,A little,847.05
50,Lesson_26,847.05,Я собираюсь увидеть нескольких друзей.,I’m going to see a few friends.,859.63
51,Lesson_26,859.63,Try to say «я собираюсь увидеть своих друзей».,I’m going to see my friends.,873.87
52,Lesson_26,880.52,Пожалуйста повторите «я собираюсь увидеть своих друзей» ,I’m going to see my friends.,898.49
53,Lesson_26,898.49,И я собираюсь поработать.,And I’m going to work.,908.87
54,Lesson_26,908.87,Try to say «я собираюсь немного поработать».,I’m going to work a little.,921.69
55,Lesson_26,927.04,Say «и я собираюсь увидеть своих друзей».,And I’m going to see me friends.,940.85
56,Lesson_26,940.85,Now say «я собираюсь увидеть нескольких друзей».,I’m going to see a few friends.,955.95
57,Lesson_26,960.16,«Может быть». Listen and repeat.,Maybe,965.82
58,Lesson_26,971.53,Вы собираетесь поработать?,Are you going to work?,980.49
59,Lesson_26,980.49,Может быть.,Maybe,986.79
60,Lesson_26,994.81,Я думаю ,I think,998.39
61,Lesson_26,1007.16,Скажите еще раз «я думаю».,I think.,1019.78
62,Lesson_26,1019.78,"«Я думаю, что я буду работать». Listen and repeat.",I think I’m going to work.,1028.63
63,Lesson_26,1039.96,"Скажите еще раз «я думаю, что я буду работать».",I think I’m going to work.,1050.7
64,Lesson_26,1050.7,"Now try to say «я не думаю, что я буду работать».",I don’t think I’m going to work.,1065.37
65,Lesson_26,1073.27,Сейчас слушайте и повторяйте выражения «я так не думаю».,I don’t think so.,1081.53
66,Lesson_26,1095.81,Say again «я так не думаю».,I don’t think so.,1108.24
67,Lesson_26,1108.24,А как ей сказать «я так думаю»?,I think so.,1116.85
68,Lesson_26,1120.23,Ask her if she’s going to see George.,Are you going to see George?,1131.44
69,Lesson_26,1139.98,Может быть.,Maybe,1145.91
70,Lesson_26,1148.31,Ask if George works in Washington.,Does George work in Washington?,1160.82
71,Lesson_26,1171.99,"Скажите, что вы так не думаете.",I don’t think so.,1182.45
72,Lesson_26,1186.19,Try to say «он работает в Нью‐Йорке».,He works in New York.,1198.1
73,Lesson_26,1201.49,"Я думаю, что он работает в Нью‐Йорке.",I think he works in New York.,1214.27
74,Lesson_26,1218.4,"Now say «я думаю, что он живет в Нью‐Йорке».",I think he lives in New York.,1232.05
75,Lesson_26,1236.84,Ask «тогда вы собираетесь увидеть Чарльза?» Charles,Then are you going to see Charles?,1251
76,Lesson_26,1251,"Скажите, что вы так думаете.",I think so.,1260.84
77,Lesson_26,1264.97,Но я собираюсь поработать тоже.,But I’m going to work too.,1277.31
78,Lesson_26,1277.31,И я собираюсь увидеть нескольких друзей.,And I’m going to see a few friends.,1291.43
79,Lesson_26,1298.87,Say «пожалуйста дайте мне».,"Please, give me.",1309.41
80,Lesson_26,1309.41,Try to say «несколько долларов».,A few dollars.,1319.2
81,Lesson_26,1319.2,Now say «мне нужен бензин».,I need some gas.,1330.25
82,Lesson_26,1334.66,Сколько он стоит?,How much is it?,1342.52
83,Lesson_26,1345.95,Один доллар за галлон.,One dollar per gallon.,1355.58
84,Lesson_26,1358.88,Почему?,Why?,1364.04
85,Lesson_26,1364.04,Потому что я собираюсь в Вашингтон.,Because I’m going to Washington.,1375.99
86,Lesson_26,1375.99,«Там живет моя подруга Мери». Не забывайте о порядке слов.,My friend Marry lives there.,1390.31
87,Lesson_26,1396.01,Она работает там.,She works there.,1404.94
88,Lesson_26,1408.83,"Помните, как спросить, далеко ли это.",How far is it?,1419.45
89,Lesson_26,1423.74,"Сейчас спросите, далеко ли Вашингтон.",How far is Washington?,1435.7
90,Lesson_26,1435.7,80 миль,Eighty miles.,1443.96
91,Lesson_26,1447.02,85 миль,Eighty five miles,1455.95
92,Lesson_26,1455.95,How do you say «я так не думаю».,I don’t think so.,1466.26
93,Lesson_26,1470.11,Now say «я не знаю».,I don’t know.,1478.53
94,Lesson_26,1478.53,Вот как спросить «вы едите сегодня?» повторяйте.,Are you going today?,1487.57
95,Lesson_26,1505.15,Ask again «Вы едите сегодня?»,Are you going today?,1514.71
96,Lesson_26,1514.71,"Я не знаю, может быть.","I don’t know, maybe.",1525.72
97,Lesson_26,1531.03,"Спросите ее еще раз, сегодня ли она едет.",Are you going today?,1541.61
98,Lesson_26,1541.61,"Как ей  ответить, что она так не думает.",I don’t think so.,1551.95
99,Lesson_26,1556.2,"Спросите еще раз, далеко ли Вашингтон.",How far is Washington?,1569.06
100,Lesson_26,1573.9,85 миль,Eighty five miles,1583.1
101,Lesson_26,1586.45,Я хотела бы увидеть Вашингтон.,I’d like to see Washington.,1598.05
102,Lesson_26,1598.05,И у меня там есть несколько друзей.,And I have a few friends there.,1611.26
103,Lesson_26,1618.5,"Спросите, по этой ли дороге нужно ехать в Вашингтон.",Is this the road to Washington?,1629.87
104,Lesson_26,1634.86,"Вы не совсем расслышали, что она сказала. Переспросите. Налево?",To the left?,1643.83
105,Lesson_26,1643.83,Now ask «налево или направо?»,To the left or to the right?,1656.69
106,Lesson_26,1663.34,"Как ей сказать «дорога, которую вы хотите найти».",The road you want.,1675.69
107,Lesson_26,1680.09,"Дорога, которую вы хотите найти – направо.",The road you want is to the right.,1692.79
108,Lesson_26,1692.79,Say «поезжайте направо».,Go to the right.,1702.27
109,Lesson_26,1706.09,А потом прямо.,And then straight ahead.,1715.13
110,Lesson_26,1718.83,"Помните, как спросить «что вы хотите делать там?»",What do you want to do there?,1729.96
111,Lesson_26,1729.96,Спросите «универмаги сейчас открыты».,Are the department stores open now?,1747.82
112,Lesson_26,1754.66,Say that it’s not late.,It’s not late.,1762.21
113,Lesson_26,1762.21,"Да, уже поздно.","Yes, it’s late.",1770.94
114,Lesson_26,1775.51,"И я думаю, что магазины закрыты.",And I think the stores are closed.,1786.68
